Date,Store_ID,Product_ID,Category,Region,Inventory Level,Units_Sold,Units_Ordered,Demand_Forecast,Price,Discount,Weather_Condition,Holiday_Promotion,Competitor_Pricing,Seasonality
02-16-2022,Spencer_CHN_01,PROD_00459,Automotive,South,79,0,33,46,175,,cloudy,none,2913.71,Low
10-07-2022,DMART_BLR_03,PROD_00259,sports,South,502,424,514,624,1904.53,0.01,FOG,Diwali Sale,2327.1,Low
16-11-2023,MEESHO_KOL_01,PROD_00443,groceries,East,88,57,53,127,318.13,0.21,Rain,NO,162.99,High
10-01-2023,AMAZON_MUM_02,PROD_00290,Groceries,West,263,0,126,241,444.78,0.38,Stormy,0,618.97,Low
04-06-2022,BIGBAZAAR_NGP_01,PROD_00491,Home,West,1201,506,1350,613,2289.33,0.28,SUN,New Year Sale,2389.42,Normal
07-07-2022,DMART_MUM_01,PROD_00100,home,West,92,34,81,46,3158.21,,,0,2428.96,Slow
02-27-2024,JIOMART_PAT_01,PROD_00098,TOYS,East,462,901,146,900,985.22,0.27,Windy,Navratri,748.01,Low
16-04-2024,Spencer_CHN_01,PROD_00088,HOME & KITCHEN,South,151,0,69,84,125,0.32,overcast,Onam Festival,2516.55,Medium
14-09-2022,FLIPKART_PUN_02,PROD_00308,Car Accessories,West,439,155,327,100,3976.84,,,FALSE,4851.79,Average
08-02-2024,Spencer_CHN_01,PROD_00292,AUTO,South,1017,401,757,467,2900.72,0.01,Foggy,TRUE,3836.46,Low
10-12-2022,MEESHO_KOL_01,PROD_00074,Home & Kitchen,East,339,177,159,215,2645.07,0.45,CLOUDY,NO,3367.64,High
22-03-2025,AMAZON_MUM_02,PROD_00013,Toys,West,432,286,341,313,1170.38,0.41,Thunderstorm,Diwali Sale,1066.88,Average
28-02-2024,MEESHO_HYD_02,PROD_00488,Cosmetics,South,384,164,282,163,742.2,0.45,,1,880.71,Off-season
10-11-2023,DMART_CHN_04,PROD_00070,Groceries,South,581,453,385,411,310.44,0.12,,Onam Festival,241.06,Peak
04-12-2022,MEESHO_HYD_02,PROD_00285,books,South,493,434,356,618,362.78,0.3,Breezy,FALSE,473.91,High
05-05-2024,MEESHO_HYD_02,PROD_00445,FURNITURE,South,1058,308,867,256,,0.07,rain,Navratri,13754.24,Average
28-05-2024,AMAZON_DEL_01,PROD_00357,ELECTRONICS,North,461,134,526,164,12212.08,0.41,Overcast,FALSE,15971.35,Medium
16-06-2024,RELIANCE_LKW_01,PROD_00129,BOOKS,North,241,188,224,247,491.51,0.31,SUNNY,Navratri,494.5,Low
06-10-2023,DMART_MUM_01,PROD_00194,Kids,West,236,169,80,114,987.64,0.25,SUN,Christmas Sale,1352.41,Peak
25-09-2023,DMART_MUM_01,PROD_00060,Toy,West,1731,789,1524,680,1284.62,0.44,overcast,Diwali Sale,1241.54,Medium
07-04-2022,Spencer_CHN_01,PROD_00049,Cosmetics,South,456,221,149,138,701.14,0.32,Breezy,TRUE,768.16,Normal
18-08-2024,FLIPKART_PUN_02,PROD_00036,Car Accessories,West,499,216,418,227,,0.43,WINDY,Navratri,4594.67,Medium
07-29-2024,LOCALMART_JDP_01,PROD_00038,Electronics,West,357,177,237,101,16396.2,0.36,Foggy,None,19382.89,Low
16-07-2024,RELIANCE_LKW_01,PROD_00403,SPORTS,North,356,159,131,282,1897.6,0.14,Windy,Republic Day,1834.83,Low
18-12-2024,LOCALMART_JDP_01,PROD_00002,Furniture,West,664,382,260,338,12741.06,0.34,foggy,NO,10800.26,Festive
16-12-2022,AMAZON_MUM_02,PROD_00005,Electronic,West,82,35,35,35,14803.02,0.16,Wet,None,13242.4,High
06-09-2023,BIGBAZAAR_NGP_01,PROD_00152,Cosmetics,West,65,49,64,51,699.47,0.14,WINDY,Diwali Sale,610.14,Medium
10-04-2022,DMART_CHN_04,PROD_00042,HOME & KITCHEN,South,1225,379,1031,336,2031.46,0.17,cloudy,Holi Offer,2373.39,Normal
03-01-2024,DMART_DEL_02,PROD_00168,Elec,North,291,98,309,109,19106.91,0.41,Foggy,Independence Day,18010.76,Medium
15-03-2023,MEESHO_KOL_01,PROD_00487,Kids,East,,409,521,560,901.89,0.25,stormy,1,701.41,Normal
03-18-2022,RELIANCE_LKW_01,PROD_00179,books,North,1450,481,1645,479,473.07,,Sunny,Eid Special,333.74,Average
11-11-2023,AMAZON_DEL_01,PROD_00426,automotive,North,95,40,69,38,,,RAINY,FALSE,2718.6,Peak
01-02-2022,JIOMART_PAT_01,PROD_00489,Home,East,807,258,270,379,,0.14,CLOUDY,Holi Offer,2651.78,Off-season
06-15-2023,FLIPKART_PUN_02,PROD_00408,Books,West,382,151,222,73,,0.17,Fog,Eid Special,678.88,Peak
04-02-2022,AMAZON_MUM_02,PROD_00278,Automotive,West,,171,274,133,4461.84,0.13,sunny,FALSE,3623.48,Medium
01-12-2022,JIOMART_PAT_01,PROD_00476,groc,East,19096,691,0,764,390.33,0.07,SUN,TRUE,394.18,Festive
02-02-2022,BIGBAZAAR_NGP_01,PROD_00282,Book,West,835,421,437,247,586.54,0.06,CLOUDY,Onam Festival,656.84,Low
07-07-2022,DMART_BLR_03,PROD_00185,Cosmetics,South,245,492,239,373,,0.44,WINDY,None,986.59,Low
29-08-2022,BIGBAZAAR_NGP_01,PROD_00416,Toy,West,1291,821,989,1014,1058.3,0.03,,Holi Offer,1402.77,Medium
29-10-2022,JIOMART_PAT_01,PROD_00486,books,East,1056,390,1098,500,507.12,0.44,Thunderstorm,1,601.67,High
26-10-2024,MEESHO_HYD_02,PROD_00376,Sport,South,784,731,857,735,1651.35,0.03,stormy,Eid Special,2057.12,Festive
17-06-2022,DMART_BLR_03,PROD_00319,Sports,South,650,0,443,274,1484.43,0.59,Breezy,FALSE,1625.24,Low
25-01-2024,DMART_DEL_02,PROD_00180,Clothing,North,285,238,299,191,1535.84,0.31,Stormy,none,1654.59,Off-season
01-11-2023,LOCALMART_JDP_01,PROD_00269,Stationery,West,290,179,119,216,,0.16,Fog,1,425.06,High
18-05-2025,AMAZON_MUM_02,PROD_00098,Kitchen,West,124,63,114,82,3303.93,0.34,Overcast,TRUE,3417.08,Normal
02-06-2023,RELIANCE_LKW_01,PROD_00418,Electronics,North,80,32,44,54,13462.66,0.36,Mist,Diwali Sale,12881.76,Low
12-19-2023,AMAZON_MUM_02,PROD_00299,groc,West,453,247,156,161,,0.22,sunny,TRUE,351.9,Festive
25-09-2024,FLIPKART_BLR_01,PROD_00022,Book,South,829,238,428,170,411.22,0.03,overcast,Eid Special,555.51,Normal
04-08-2022,LOCALMART_JDP_01,PROD_00109,beauty,West,809,432,728,649,999.98,0.11,Overcast,1,994.25,Medium
25-04-2023,JIOMART_PAT_01,PROD_00027,Auto,East,219,118,71,85,3428.85,0.28,Rain,0,2575.85,Medium
30-08-2022,JIOMART_PAT_01,PROD_00257,Kitchen,East,-2,25,47,103,2567.25,0.23,Breezy,none,3231.1,High
26-02-2022,AMAZON_MUM_02,PROD_00004,Clothes,West,-15,360,1248,418,1384.52,0.44,,Holi Offer,1643.82,Low
19-09-2022,MEESHO_KOL_01,PROD_00325,furniture,East,,229,511,269,11530.77,0,rain,TRUE,11533.33,Normal
26-05-2023,Spencer_CHN_01,PROD_00266,furniture,South,678,246,548,189,14151.2,0.42,foggy,FALSE,18096.78,Normal
12-29-2024,AMAZON_MUM_02,PROD_00048,Toy,West,282,106,249,101,1290.72,0.26,Wet,0,1092.54,High
04-05-2023,MEESHO_KOL_01,PROD_00032,furniture,East,74,29,32,47,8452.98,,,Diwali Sale,6777.28,Average
21-09-2023,BIGBAZAAR_NGP_01,PROD_00439,FURNITURE,West,,236,394,295,14461.15,0,,FALSE,16660.1,Normal
10-25-2023,BIGBAZAAR_NGP_01,PROD_00448,automotive,West,496,194,330,243,4325.51,0.21,Storm,none,4602.18,Festive
05-05-2024,MEESHO_KOL_01,PROD_00111,Electronic,East,330,141,182,205,12009.06,0.22,Fog,none,13027.07,Medium
22-02-2024,DMART_BLR_03,PROD_00389,Auto,South,,261,425,244,2730.1,0.42,Breezy,Diwali Sale,2556.65,Low
30-09-2024,DMART_CHN_04,PROD_00306,Apparel,South,197,135,218,136,1074.33,0.23,Windy,FALSE,908.57,Average
22-04-2022,AMAZON_MUM_02,PROD_00383,BEAUTY,West,335,173,184,179,770.04,0.43,Thunderstorm,none,885.69,Average
18-04-2022,DMART_MUM_01,PROD_00131,Food,West,208,81,113,79,,0.08,STORM,Diwali Sale,379.3,Average
03-11-2022,BIGBAZAAR_NGP_01,PROD_00149,Electrnics,West,1624,610,1449,597,18309.21,0.35,Mist,Christmas Sale,14332.95,High
06-09-2024,DMART_MUM_01,PROD_00317,Food,West,583,185,697,186,315.6,0.34,cloudy,none,343.91,Average
23-12-2024,DMART_BLR_03,PROD_00169,Books,South,2775,801,1679,669,484.82,0.34,cloudy,Diwali Sale,457.41,Peak
03-08-2022,LOCALMART_JDP_01,PROD_00186,Fitness,West,716,705,839,574,26098.24,0.11,Storm,TRUE,30750.3,Medium
21-07-2023,BIGBAZAAR_NGP_01,PROD_00425,Clothing,West,569,308,332,447,1067.38,0.38,Storm,FALSE,1201.36,Medium
20-08-2023,Spencer_CHN_01,PROD_00217,Auto,South,235,232,178,347,2620.46,0.22,Thunderstorm,0,2937.36,Normal
11-01-2023,JIOMART_PAT_01,PROD_00267,toys,East,714,346,671,365,973.71,0.09,Drizzle,0,1350.89,High
05-08-2023,JIOMART_PAT_01,PROD_00343,Clothes,East,-16,161,223,157,946.22,0.29,STORM,0,958.48,Normal
28-11-2024,AMAZON_MUM_02,PROD_00377,Furnishings,West,404,335,379,357,15415.1,0.24,Fog,Holi Offer,18444.24,Peak
07-02-2022,FLIPKART_PUN_02,PROD_00081,Electrnics,West,262,111,217,163,15583.22,0.13,Mist,NO,12283.56,Low
11-02-2023,AMAZON_MUM_02,PROD_00240,ELECTRONICS,West,403,190,437,176,16317.43,0.25,Storm,0,14706.9,Slow
07-05-2023,MEESHO_KOL_01,PROD_00319,Clothing,East,16963,52,0,39,1146.84,0.28,,1,1461.47,Average
03-07-2022,MEESHO_HYD_02,PROD_00037,Electronics,South,361,186,283,113,14269.32,0.13,Fog,New Year Sale,11178.71,Off-season
13-05-2024,DMART_MUM_01,PROD_00447,BEAUTY,West,805,246,349,213,878.52,,RAINY,Diwali Sale,1032.47,Medium
03-14-2022,JIOMART_PAT_01,PROD_00350,beauty,East,246,178,230,115,759.36,0.2,Breezy,New Year Sale,916.54,Normal
30-01-2022,DMART_DEL_02,PROD_00309,ELECTRONICS,North,593,170,455,236,,0.41,Fog,NO,17644.27,Slow
31-01-2022,FLIPKART_PUN_02,PROD_00316,HOME & KITCHEN,West,-162,67,49,26,3265.48,0.13,SUNNY,Diwali Sale,4246.45,Off-season
21-03-2024,BIGBAZAAR_NGP_01,PROD_00119,AUTO,West,318,186,283,170,4901.31,0.2,Sunny,TRUE,5544.02,Medium
29-06-2022,BIGBAZAAR_NGP_01,PROD_00149,Sport,West,143,84,145,124,24236.08,0.23,foggy,None,29131.22,Low
04-12-2022,DMART_BLR_03,PROD_00118,FURNITURE,South,683,348,234,359,11243.42,0.4,SUNNY,New Year Sale,10263.44,Peak
14-06-2022,LOCALMART_JDP_01,PROD_00093,Clothes,West,548,212,371,294,1562.52,0.17,foggy,TRUE,1783.77,Off-season
05-05-2025,FLIPKART_PUN_02,PROD_00463,BEAUTY,West,397,158,140,122,1118.95,0.34,SUN,TRUE,930.04,Normal
30-04-2023,RELIANCE_LKW_01,PROD_00498,Elec,North,505,300,232,363,13630.38,0.24,sunny,Republic Day,12056.94,Medium
14-04-2022,MEESHO_HYD_02,PROD_00302,Home,South,586,360,657,229,2639.12,0.4,Overcast,Navratri,2075.82,Normal
19-12-2024,FLIPKART_PUN_02,PROD_00496,Groceries,West,,0,1637,1133,17.5,0.33,Thunderstorm,1,443.65,Peak
06-10-2023,Spencer_CHN_01,PROD_00085,books,South,181,0,162,141,22.5,0.24,Foggy,TRUE,409.86,High
17-06-2022,MEESHO_HYD_02,PROD_00451,BOOKS,South,652,256,741,159,423.03,0.19,,Eid Special,453.84,Slow
19-06-2023,AMAZON_DEL_01,PROD_00340,Home & Kitchen,North,48,40,31,42,2154.47,,Rainy,Diwali Sale,2163.53,Low
03-02-2022,Spencer_CHN_01,PROD_00420,Groceries,South,151,11,68,33,365.11,0.53,Rain,0,519.57,Low
02-22-2022,MEESHO_KOL_01,PROD_00208,Grocery,East,257,87,82,98,263.23,0.21,,Independence Day,388.91,Low
24-12-2023,JIOMART_PAT_01,PROD_00318,Food,East,965,328,644,312,,0.13,Mist,Eid Special,378.75,Peak
05-05-2023,AMAZON_DEL_01,PROD_00493,Clothes,North,581,223,512,299,1356.36,0.27,STORM,NO,1426.26,Medium
04-06-2022,FLIPKART_PUN_02,PROD_00176,clothing,West,,56,72,19,1037.46,0.33,windy,Navratri,1302.04,Medium
18-08-2024,BIGBAZAAR_NGP_01,PROD_00339,Sports,West,387,189,217,178,1826,0.34,Foggy,none,2271.47,Medium
10-01-2023,FLIPKART_PUN_02,PROD_00436,Book,West,-46,99,369,122,562.11,0.37,CLOUDY,FALSE,452.63,Off-season
27-08-2023,MEESHO_HYD_02,PROD_00312,Home & Kitchen,South,468,136,509,134,,0.14,Fair,Holi Offer,3001.57,Medium
10-19-2022,DMART_DEL_02,PROD_00464,Electronics,North,1828,611,1728,716,17488.52,0.13,rainy,New Year Sale,22545.82,High
09-03-2023,DMART_CHN_04,PROD_00324,Clothing,South,444,273,493,304,1079.19,0.03,sunny,FALSE,1161.54,Normal
17-12-2024,MEESHO_HYD_02,PROD_00161,Stationery,South,620,196,482,202,509.64,0.36,Overcast,FALSE,683.48,High
14-11-2023,AMAZON_DEL_01,PROD_00479,Kitchen,North,124,44,128,45,2340.18,0.32,Storm,0,2277.52,High
05-07-2024,AMAZON_DEL_01,PROD_00322,Clothing,North,1315,500,886,515,1357.39,0.29,Overcast,Diwali Sale,1834.28,Low
20-07-2022,DMART_CHN_04,PROD_00383,Furnishings,South,344,300,389,435,11327.99,0.38,Fair,Diwali Sale,10810,Low
14-02-2023,LOCALMART_JDP_01,PROD_00187,SPORTS,West,689,296,747,260,2275.34,0.04,Drizzle,Holi Offer,2607.79,Off-season
25-10-2022,Spencer_CHN_01,PROD_00117,CLOTHING,South,78,0,42,48,60,0.39,foggy,TRUE,1175.15,High
07-02-2022,MEESHO_KOL_01,PROD_00446,Clothing,East,319,100,246,152,969.86,0.27,Drizzle,FALSE,775.42,Slow
09-04-2023,DMART_CHN_04,PROD_00038,groceries,South,357,135,391,197,391.63,0,Clear,Diwali Sale,522.11,Average
21-06-2022,AMAZON_MUM_02,PROD_00005,Electrnics,West,333,157,237,224,,0.17,Rainy,NO,12111.08,Low
17-02-2022,AMAZON_DEL_01,PROD_00098,Book,North,335,206,152,303,434.16,0.44,STORM,Christmas Sale,609.58,Low
10-23-2022,AMAZON_MUM_02,PROD_00092,Electrnics,West,40,20,44,-22,13032.08,0.05,Breezy,Republic Day,11788.79,Peak
20-10-2022,RELIANCE_LKW_01,PROD_00126,Grocery,North,2164,861,2520,1084,428.85,0.14,Storm,New Year Sale,542.99,Festive
06-06-2023,AMAZON_MUM_02,PROD_00093,toys,West,,97,91,99,1312.17,0.07,Drizzle,Independence Day,981.62,Low
07-13-2022,DMART_DEL_02,PROD_00115,Home,North,,505,649,491,3231.84,0.27,Overcast,1,3478.99,Low
25-03-2023,DMART_CHN_04,PROD_00348,Apparel,South,479,210,481,208,1030.48,0.16,Stormy,Independence Day,957.46,Average
17-01-2022,BIGBAZAAR_NGP_01,PROD_00410,AUTO,West,189,109,63,146,3372.39,0.39,Windy,Christmas Sale,3047.79,Low
12-12-2022,DMART_CHN_04,PROD_00457,FURNITURE,South,1181,0,1233,276,600,0.37,Sunny,New Year Sale,10841.36,Peak
18-08-2023,LOCALMART_JDP_01,PROD_00307,Toys,West,597,255,180,122,1230.52,0.32,foggy,0,1076.27,Medium
08-08-2024,MEESHO_HYD_02,PROD_00194,Apparel,South,384,161,428,173,1230.86,0.03,Storm,NO,1270.41,Medium
11-08-2023,DMART_DEL_02,PROD_00228,Groceries,North,291,164,339,151,422.07,0.21,Fair,None,505.16,Medium
10-26-2023,DMART_DEL_02,PROD_00217,toys,North,339,163,352,232,1131.45,0.19,Overcast,Diwali Sale,1456.9,Peak
26-08-2024,LOCALMART_JDP_01,PROD_00089,Apparel,West,568,228,334,143,1651,0.39,windy,none,1491.94,Average
26-07-2022,DMART_BLR_03,PROD_00228,BOOKS,South,660,549,419,414,403.54,0.05,Stormy,Navratri,422.69,Low
11-28-2024,FLIPKART_PUN_02,PROD_00265,BEAUTY,West,2137,0,1499,896,40,0.35,Sunny,TRUE,993.91,High
26-08-2022,MEESHO_HYD_02,PROD_00126,clothing,South,385,148,388,126,1151.28,0.05,Windy,FALSE,1523.65,Normal
05-08-2024,DMART_DEL_02,PROD_00076,electronics,North,110,32,122,-1,17420.53,0.26,foggy,None,22657.25,Medium
01-01-2024,MEESHO_HYD_02,PROD_00265,Electronics,South,101,39,39,63,16043.6,0.17,Wet,Eid Special,15039.71,Off-season
19-05-2024,MEESHO_HYD_02,PROD_00012,Sports,South,451,195,390,227,,0.17,Breezy,FALSE,1789.63,Normal
05-09-2023,MEESHO_KOL_01,PROD_00124,BOOKS,East,760,277,837,407,322.55,0.42,Foggy,Onam Festival,261.34,Normal
13-04-2024,LOCALMART_JDP_01,PROD_00462,TOYS,West,347,232,409,161,916.62,0.13,Fog,New Year Sale,845.38,Medium
29-02-2024,DMART_DEL_02,PROD_00150,Furnishings,North,326,110,167,150,9812.05,0.37,Fair,0,10621.98,Low
06-11-2022,FLIPKART_PUN_02,PROD_00110,Clothing,West,1590,562,1644,802,1454.44,0.12,CLOUDY,TRUE,1781.03,High
01-09-2022,MEESHO_KOL_01,PROD_00338,BEAUTY,East,278,101,282,89,571.81,0.24,overcast,0,482.15,Normal
01-11-2022,FLIPKART_PUN_02,PROD_00235,automotive,West,778,483,370,481,,0.33,WINDY,0,41004.14,Peak
04-24-2023,Spencer_CHN_01,PROD_00444,clothing,South,856,547,815,525,1256.29,0.25,cloudy,Christmas Sale,1545.03,Average
29-07-2022,AMAZON_DEL_01,PROD_00176,Furnishings,North,126,88,44,61,15487.05,,Fair,None,14354.65,Low
11-07-2023,DMART_CHN_04,PROD_00285,Grocery,South,780,315,283,201,335.04,0.34,Overcast,Christmas Sale,332.17,Low
30-07-2023,RELIANCE_LKW_01,PROD_00128,Clothing,North,699,216,779,154,1434.38,0.44,,1,1641.82,Off-season
20-09-2023,LOCALMART_JDP_01,PROD_00402,FURNITURE,West,526,173,629,112,12580.45,0.02,clear,Christmas Sale,16104.47,Normal
08-03-2024,BIGBAZAAR_NGP_01,PROD_00340,groceries,West,641,369,413,343,402.87,0.13,,TRUE,524.69,Normal
15-03-2024,DMART_MUM_01,PROD_00200,toys,West,61,24,44,0,1129.8,0.15,CLOUDY,none,1054.82,Normal
03-05-2023,FLIPKART_PUN_02,PROD_00119,clothing,West,17861,450,0,369,,0.37,STORM,Holi Offer,1806.88,Medium
04-01-2023,DMART_MUM_01,PROD_00205,Auto,West,141,43,151,30,3725.05,0.29,foggy,Navratri,4542.27,Low
07-09-2022,DMART_DEL_02,PROD_00439,Stationery,North,74,40,25,-16,399.06,0.27,sunny,Republic Day,419.87,Medium
