Date,Store ID,Product ID,Category,Region,Inventory Level,Price,Discount,Weather Condition,Holiday/Promotion,Seasonality,Competitor Pricing,Demand Forecast,Units Sold,Units Ordered
21-04-2024,1048,2132,Home,East,368,2165.13,0.38,Rainy,No,Summer,2368.3,73,45,84
22-04-2024,1029,2574,Clothing,West,301,2836.02,0.32,Sunny,No,Monsoon,2782.69,65,36,70
23-04-2024,1003,2369,Electronics,North,233,329.65,0.34,Rainy,Yes,Summer,317.4,176,144,198
24-04-2024,1034,2617,Clothing,South,359,276.64,0.05,Sunny,Yes,Festive,295,153,111,125
25-04-2024,1042,2144,Electronics,South,481,476.15,0.2,Sunny,No,Festive,517.91,196,159,229
26-04-2024,1013,2849,Beauty,South,485,2444.18,0.21,Cloudy,No,Festive,2380.03,175,110,202
27-04-2024,1048,2384,Clothing,West,473,1242.81,0.31,Rainy,No,Summer,1329.68,78,70,83
28-04-2024,1039,2432,Clothing,West,408,1383.32,0.13,Rainy,No,Summer,1398.65,183,161,211
29-04-2024,1021,2287,Electronics,South,261,225.27,0.21,Sunny,Yes,Winter,217.09,194,105,200
30-04-2024,1009,2809,Beauty,West,141,1183.38,0.37,Cloudy,Yes,Monsoon,1163.72,117,80,112
01-05-2024,1000,2927,Electronics,North,214,1053.68,0.28,Cloudy,Yes,Festive,1135.96,56,33,51
02-05-2024,1010,2836,Home,East,63,1825.26,0.24,Rainy,Yes,Winter,1799.91,45,31,41
03-05-2024,1043,2613,Electronics,West,222,2209.93,0,Cloudy,No,Winter,2285.04,183,168,195
04-05-2024,1023,2924,Beauty,South,51,143.21,0.27,Sunny,Yes,Winter,149.69,162,51,148
05-05-2024,1002,2146,Clothing,South,309,406.03,0.41,Rainy,Yes,Summer,422.44,175,90,160
06-05-2024,1034,2863,Clothing,West,265,1683.51,0.39,Rainy,Yes,Summer,1810.73,225,216,245
07-05-2024,1035,2639,Clothing,South,254,590.41,0.23,Rainy,Yes,Monsoon,629.44,203,201,185
08-05-2024,1030,2912,Clothing,West,88,2246.31,0.12,Rainy,No,Summer,2362.31,187,88,191
09-05-2024,1003,2838,Clothing,East,278,1335.42,0.43,Rainy,No,Winter,1252.32,123,112,107
10-05-2024,1018,2116,Clothing,West,476,1051.95,0.25,Sunny,Yes,Festive,1119,212,109,178
11-05-2024,1046,2878,Electronics,West,84,2458.56,0.37,Rainy,No,Festive,2423.39,234,84,269
12-05-2024,1035,2724,Electronics,East,320,1934.31,0.23,Rainy,No,Winter,2084.15,207,180,192
13-05-2024,1020,2546,Electronics,North,401,1484.6,0.15,Cloudy,No,Winter,1534.08,160,126,156
14-05-2024,1017,2168,Beauty,North,216,1975.44,0.2,Cloudy,Yes,Summer,1863.49,141,74,125
15-05-2024,1027,2718,Clothing,West,337,2831.04,0.41,Cloudy,Yes,Monsoon,3007.07,190,113,184
16-05-2024,1014,2601,Home,North,352,1746.96,0.14,Cloudy,Yes,Summer,1766.77,148,78,163
17-05-2024,1041,2614,Beauty,North,357,2950.33,0.26,Sunny,No,Winter,2709.11,71,69,78
18-05-2024,1001,2439,Beauty,West,117,1307.63,0.4,Sunny,Yes,Monsoon,1339.49,118,82,129
19-05-2024,1036,2535,Beauty,South,272,2264.35,0.09,Sunny,Yes,Monsoon,2152.33,81,66,72
20-05-2024,1010,2854,Home,West,251,1108.72,0.43,Sunny,No,Summer,1082.27,71,59,56
21-05-2024,1022,2342,Electronics,North,480,2521.49,0.12,Rainy,No,Summer,2743.18,113,99,115
22-05-2024,1043,2575,Clothing,North,120,677.75,0.14,Sunny,No,Winter,731.16,52,50,44
23-05-2024,1040,2175,Home,South,291,1839.7,0.21,Sunny,No,Monsoon,1770.12,95,75,108
24-05-2024,1011,2544,Beauty,North,127,2632.47,0.34,Cloudy,Yes,Monsoon,2834.86,162,126,192
25-05-2024,1002,2631,Home,West,122,850.64,0.15,Rainy,No,Summer,773.88,42,24,39
26-05-2024,1016,2301,Beauty,South,388,2309.5,0.42,Rainy,No,Summer,2159.07,224,121,264
27-05-2024,1032,2085,Clothing,North,64,472.71,0.02,Rainy,Yes,Festive,447.72,125,64,144
28-05-2024,1000,2379,Beauty,North,212,2941.24,0.02,Rainy,Yes,Monsoon,3067.16,110,100,96
29-05-2024,1038,2492,Beauty,South,127,1112.68,0.39,Rainy,No,Winter,1068.2,185,127,214
30-05-2024,1019,2394,Home,East,108,1983.62,0.49,Cloudy,No,Festive,1849.57,167,108,182
31-05-2024,1046,2728,Home,North,471,715.86,0.14,Cloudy,Yes,Summer,760.27,142,99,129
01-06-2024,1042,2842,Electronics,South,201,2854.63,0.06,Cloudy,Yes,Monsoon,2757.25,42,36,44
02-06-2024,1040,2939,Home,South,215,1745.07,0.22,Sunny,Yes,Festive,1686.56,72,46,75
03-06-2024,1013,2489,Beauty,West,423,2945.52,0.14,Rainy,Yes,Monsoon,2814.67,192,153,184
04-06-2024,1030,2191,Home,South,17,2964.95,0.47,Rainy,Yes,Winter,3223.68,163,17,166
05-06-2024,1024,2441,Electronics,West,180,371.37,0.38,Rainy,No,Festive,369.54,85,49,69
06-06-2024,1002,2620,Clothing,East,458,416.57,0.07,Sunny,Yes,Festive,390.92,93,69,99
07-06-2024,1003,2840,Electronics,South,384,576.65,0,Sunny,No,Monsoon,536.79,71,56,69
08-06-2024,1030,2923,Beauty,East,198,527.54,0.48,Rainy,Yes,Winter,543.53,239,153,246
09-06-2024,1034,2304,Home,West,114,2676.16,0.02,Rainy,No,Festive,2771.46,186,114,150
10-06-2024,1043,2824,Home,West,316,1405.45,0.03,Rainy,No,Summer,1369.75,146,130,121
11-06-2024,1013,2807,Beauty,South,232,210.04,0.25,Cloudy,No,Winter,212.22,82,81,74
12-06-2024,1048,2490,Home,East,197,739.9,0.36,Cloudy,No,Winter,781.4,107,103,123
13-06-2024,1040,2668,Clothing,West,311,1715.98,0.41,Rainy,Yes,Monsoon,1744.15,209,166,241
14-06-2024,1008,2654,Clothing,North,383,1204.06,0.23,Sunny,Yes,Summer,1263.01,82,41,81
15-06-2024,1019,2116,Clothing,East,380,643.29,0.08,Sunny,Yes,Monsoon,615.94,113,84,93
16-06-2024,1031,2030,Electronics,North,318,2554.02,0.29,Rainy,Yes,Festive,2778.56,114,96,99
17-06-2024,1008,2415,Electronics,South,486,395.17,0.15,Rainy,No,Festive,399.32,109,100,102
18-06-2024,1026,2382,Home,North,285,314.34,0.02,Sunny,Yes,Festive,305.26,148,99,171
19-06-2024,1002,2064,Clothing,South,499,225.53,0.13,Cloudy,Yes,Monsoon,223.83,52,32,55
20-06-2024,1003,2832,Beauty,South,92,1363.9,0.3,Rainy,No,Festive,1452.09,196,92,201
21-06-2024,1044,2139,Home,West,305,1585.87,0.04,Sunny,Yes,Monsoon,1470.31,145,124,139
22-06-2024,1014,2293,Electronics,North,157,1279.12,0.02,Cloudy,Yes,Winter,1218.12,76,66,79
23-06-2024,1032,2640,Beauty,East,14,1149.02,0.4,Sunny,Yes,Festive,1207.25,174,14,165
24-06-2024,1004,2631,Home,South,297,1253.19,0.11,Rainy,Yes,Summer,1158.36,200,100,235
25-06-2024,1003,2876,Clothing,East,158,1478.99,0.17,Rainy,Yes,Festive,1398.13,213,158,252
26-06-2024,1045,2290,Electronics,South,370,1372.81,0.04,Sunny,No,Festive,1444.07,170,97,142
27-06-2024,1011,2891,Home,North,180,2330.57,0.48,Cloudy,No,Monsoon,2369.16,167,99,158
28-06-2024,1022,2018,Home,East,82,1564.1,0.47,Cloudy,No,Winter,1532.98,164,82,135
29-06-2024,1013,2800,Electronics,West,276,1016.94,0.35,Rainy,Yes,Monsoon,1023.66,175,95,182
30-06-2024,1045,2422,Clothing,West,180,786.71,0.36,Rainy,No,Winter,753.12,226,123,229
01-07-2024,1011,2927,Beauty,East,310,256.44,0.35,Cloudy,No,Summer,272.56,228,176,264
02-07-2024,1016,2395,Home,East,130,1828.81,0.36,Rainy,No,Summer,1832.74,91,46,108
03-07-2024,1024,2893,Home,South,393,1738.18,0.15,Rainy,No,Winter,1677.76,45,41,38
04-07-2024,1029,2118,Beauty,East,159,2546.39,0.23,Cloudy,No,Summer,2607.54,166,88,155
05-07-2024,1021,2215,Electronics,East,257,129.46,0.46,Rainy,No,Monsoon,122.67,185,183,152
06-07-2024,1046,2210,Beauty,North,402,2250.3,0.27,Sunny,Yes,Monsoon,2070.58,160,93,145
07-07-2024,1025,2923,Home,North,65,2274.03,0.18,Sunny,Yes,Festive,2315.1,47,42,55
08-07-2024,1016,2801,Home,North,45,2415.44,0.13,Sunny,Yes,Summer,2458.76,202,45,226
09-07-2024,1019,2777,Beauty,East,377,2236.45,0.43,Cloudy,No,Monsoon,2185.94,232,119,274
10-07-2024,1033,2901,Electronics,South,361,869.96,0.21,Cloudy,No,Festive,823.79,140,98,150
11-07-2024,1040,2708,Beauty,North,461,1549,0.36,Cloudy,Yes,Festive,1678.81,180,97,201
12-07-2024,1032,2510,Clothing,West,19,2418.54,0.23,Sunny,Yes,Festive,2309.95,151,19,121
13-07-2024,1036,2643,Beauty,West,55,1840.12,0.04,Rainy,No,Summer,1809.42,40,28,42
14-07-2024,1006,2109,Clothing,West,56,2022.24,0.5,Sunny,Yes,Festive,1833.9,201,56,164
15-07-2024,1021,2459,Home,West,262,886.62,0.44,Cloudy,Yes,Festive,853.76,112,58,90
16-07-2024,1031,2524,Beauty,West,314,1492.5,0.3,Sunny,Yes,Summer,1355.25,117,86,130
17-07-2024,1013,2841,Home,East,287,491.04,0.08,Rainy,No,Winter,475.77,133,123,131
18-07-2024,1007,2139,Home,North,484,1973.14,0.17,Rainy,Yes,Monsoon,1992.92,167,162,195
19-07-2024,1024,2909,Home,North,83,272.65,0.18,Sunny,No,Summer,273.57,86,71,91
20-07-2024,1015,2255,Beauty,South,49,1238.73,0.04,Cloudy,No,Monsoon,1339.91,156,49,149
21-07-2024,1041,2933,Beauty,East,441,2878.69,0.01,Sunny,Yes,Summer,3068.99,92,74,106
22-07-2024,1018,2741,Clothing,North,382,1377.79,0.36,Sunny,Yes,Monsoon,1405.61,102,74,116
23-07-2024,1040,2628,Beauty,South,399,2121.69,0.44,Rainy,Yes,Monsoon,2134.85,157,85,132
24-07-2024,1015,2148,Beauty,South,88,1411.14,0.24,Rainy,No,Monsoon,1396.86,57,55,56
25-07-2024,1011,2307,Electronics,West,282,2701.81,0.01,Rainy,No,Winter,2543.05,23,20,19
26-07-2024,1038,2201,Electronics,North,157,1537.89,0.43,Cloudy,No,Summer,1545.09,85,53,84
27-07-2024,1047,2933,Beauty,South,59,507.09,0.4,Sunny,Yes,Festive,468.91,125,59,120
28-07-2024,1029,2485,Clothing,West,332,910.69,0.41,Rainy,No,Winter,854.14,198,102,188
29-07-2024,1001,2762,Electronics,East,26,2551.64,0.4,Rainy,Yes,Festive,2568.5,227,26,227
30-07-2024,1031,2537,Clothing,South,63,301.58,0.45,Rainy,No,Festive,310.82,101,63,88
31-07-2024,1044,2557,Clothing,North,372,2624.21,0.11,Rainy,Yes,Winter,2526.64,165,150,179
01-08-2024,1024,2771,Clothing,South,396,635.66,0.43,Sunny,No,Winter,613.47,187,133,214
02-08-2024,1024,2531,Electronics,South,403,1584.03,0.43,Cloudy,No,Winter,1665.54,72,62,76
03-08-2024,1003,2910,Beauty,North,305,2619.15,0.35,Cloudy,Yes,Summer,2762.79,85,80,98
04-08-2024,1018,2179,Beauty,East,81,2699.65,0.07,Rainy,No,Festive,2938.69,194,81,231
05-08-2024,1047,2374,Clothing,North,314,116.36,0.36,Sunny,Yes,Winter,124.86,75,50,81
06-08-2024,1003,2857,Home,North,234,1099.34,0.38,Sunny,No,Summer,1121.09,234,139,193
07-08-2024,1042,2386,Clothing,North,353,2941.28,0.43,Rainy,Yes,Summer,3017.89,118,85,102
08-08-2024,1012,2074,Electronics,North,186,203.05,0.26,Sunny,Yes,Summer,221.95,97,67,109
09-08-2024,1038,2566,Clothing,West,305,1064.43,0.36,Cloudy,Yes,Summer,1125.4,117,115,137
10-08-2024,1035,2391,Electronics,North,378,224.09,0.39,Sunny,Yes,Monsoon,228.94,106,103,116
11-08-2024,1022,2708,Home,East,133,313.41,0.33,Rainy,Yes,Festive,300.36,222,133,201
12-08-2024,1005,2134,Home,South,435,2051.89,0.14,Rainy,No,Winter,2115.3,168,110,164
13-08-2024,1023,2068,Home,East,22,2476.78,0.38,Sunny,Yes,Monsoon,2293.81,179,22,169
14-08-2024,1043,2552,Electronics,South,86,1799.96,0.06,Rainy,Yes,Winter,1960.67,130,65,140
15-08-2024,1032,2096,Home,South,249,808.12,0.3,Rainy,Yes,Monsoon,870.33,171,170,166
16-08-2024,1011,2152,Home,North,109,1446.86,0.44,Sunny,No,Festive,1556.9,195,109,225
17-08-2024,1040,2911,Beauty,West,470,1237.62,0.04,Cloudy,Yes,Winter,1216.09,28,20,29
18-08-2024,1020,2050,Clothing,North,114,1144.46,0.2,Sunny,Yes,Winter,1164.15,44,30,36
19-08-2024,1010,2918,Electronics,North,393,503.78,0.04,Cloudy,Yes,Summer,487.9,129,114,106
20-08-2024,1043,2867,Electronics,North,391,1273.81,0.36,Sunny,No,Monsoon,1336.94,233,153,266
21-08-2024,1037,2335,Electronics,West,82,2825.36,0.21,Cloudy,Yes,Summer,2946.21,208,82,204
22-08-2024,1028,2982,Electronics,South,299,782.09,0.05,Sunny,Yes,Monsoon,719.63,81,79,78
23-08-2024,1047,2494,Home,South,295,524.58,0.32,Rainy,Yes,Summer,478.1,100,89,86
24-08-2024,1040,2714,Electronics,South,58,876.73,0.42,Rainy,No,Summer,911.93,241,58,219
25-08-2024,1002,2178,Electronics,East,298,249.44,0.24,Rainy,Yes,Festive,250.58,125,117,146
26-08-2024,1027,2164,Home,South,131,512.71,0.4,Rainy,Yes,Summer,529.44,147,89,123
27-08-2024,1019,2146,Home,South,212,2449.4,0.4,Sunny,Yes,Monsoon,2383.53,120,94,122
28-08-2024,1025,2622,Electronics,South,250,1722.91,0.28,Rainy,Yes,Winter,1842.41,80,59,72
29-08-2024,1023,2693,Electronics,North,354,787.1,0.41,Sunny,Yes,Festive,859.17,189,115,217
30-08-2024,1046,2384,Beauty,East,191,732.19,0.1,Cloudy,No,Winter,728.16,137,80,129
31-08-2024,1020,2325,Beauty,East,487,782.93,0.15,Cloudy,No,Winter,834.29,90,49,72
01-09-2024,1029,2893,Clothing,East,202,988.69,0.35,Sunny,No,Festive,938.57,197,182,211
02-09-2024,1003,2580,Beauty,North,206,1932.81,0.26,Sunny,Yes,Festive,1764.63,176,88,180
03-09-2024,1035,2168,Home,West,97,973.02,0.23,Sunny,No,Festive,932.58,189,97,151
04-09-2024,1039,2172,Home,North,26,2983.85,0.23,Rainy,No,Summer,3124.1,216,26,185
05-09-2024,1009,2012,Home,West,218,311.94,0.12,Sunny,No,Festive,338.99,146,109,171
06-09-2024,1009,2005,Home,North,207,1948.87,0.18,Sunny,Yes,Festive,1980.45,39,38,33
07-09-2024,1041,2521,Home,West,438,2053.01,0.27,Cloudy,Yes,Winter,1996.53,49,27,58
08-09-2024,1023,2796,Clothing,West,204,1248.43,0.34,Sunny,No,Monsoon,1198.84,222,180,196
09-09-2024,1003,2769,Clothing,West,115,2089.42,0.14,Cloudy,Yes,Festive,2130.31,196,115,169
10-09-2024,1046,2123,Electronics,West,322,226.63,0.4,Rainy,Yes,Summer,209.96,201,127,206
11-09-2024,1026,2478,Beauty,West,281,1348.04,0.48,Rainy,No,Summer,1470.61,81,78,94
12-09-2024,1044,2279,Clothing,North,189,1772.06,0.2,Sunny,No,Monsoon,1906.99,193,111,210
13-09-2024,1003,2208,Beauty,South,382,1351.45,0.14,Rainy,No,Summer,1283.94,109,97,112
