Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality
10-02-2024,DMART_062,PRD_0450,Groceries,Tamil Nadu,1794,25,124,38,2030.29,0.39,Humid,End of Month,1195.58,Medium
11-02-2024,DMART_051,PRD_0485,Home & Kitchen,Karnataka,327,327,395,330,1303.43,0.26,Rainy,None,1086.62,High
12-02-2024,DMART_055,PRD_0646,Electronics,Andhra Pradesh,255,255,335,259,733.68,0.15,Sunny,Summer Special,693.09,High
13-02-2024,DMART_064,PRD_0620,Electronics,Karnataka,1663,90,156,139,2492.26,0.24,Extreme Heat,None,1943.2,Medium
14-02-2024,DMART_003,PRD_0018,Personal Care,Andhra Pradesh,962,128,157,137,337.9,0.09,Humid,None,295.91,Medium
15-02-2024,DMART_051,PRD_0606,Apparel,Gujarat,377,141,191,174,3397.49,0.25,Cloudy,Republic Day Offer,2834.08,Low
16-02-2024,DMART_007,PRD_0662,Groceries,Tamil Nadu,1683,65,149,69,3426.04,0.01,Extreme Heat,None,3395.34,Medium
17-02-2024,DMART_021,PRD_0758,Electronics,Gujarat,907,177,257,161,473.17,0.14,Rainy,None,464.15,Medium
18-02-2024,DMART_073,PRD_0289,Electronics,Karnataka,926,129,176,110,381.69,0.3,Extreme Heat,None,281.77,Low
19-02-2024,DMART_039,PRD_0414,Groceries,Telangana,911,59,95,101,1456.25,0.32,Cloudy,End of Month,1082.38,Medium
20-02-2024,DMART_018,PRD_0721,Groceries,Maharashtra,385,118,136,151,3373.62,0.1,Rainy,None,3164.89,Medium
21-02-2024,DMART_004,PRD_0638,Groceries,Telangana,655,126,203,143,1413.08,0.22,Cloudy,None,1053.2,Low
22-02-2024,DMART_089,PRD_0235,Groceries,Telangana,641,177,224,173,1286.03,0.21,Sunny,End of Month,978,Medium
23-02-2024,DMART_060,PRD_0416,Apparel,Maharashtra,1111,115,214,125,2468.48,0.17,Cloudy,None,2346.32,Medium
24-02-2024,DMART_014,PRD_0938,Groceries,Tamil Nadu,1063,91,125,71,641.98,0.09,Extreme Heat,Diwali Sale,603.16,Low
25-02-2024,DMART_009,PRD_0499,Groceries,Gujarat,1993,123,146,108,1284.37,0.28,Sunny,Republic Day Offer,912.39,Medium
26-02-2024,DMART_090,PRD_0974,Groceries,Gujarat,1301,58,104,107,1033.75,0.1,Sunny,Festive Discount,1017.89,Medium
27-02-2024,DMART_053,PRD_0634,Electronics,Tamil Nadu,1556,57,116,72,2113.34,0.36,Humid,None,1523.55,Medium
28-02-2024,DMART_002,PRD_0650,Home & Kitchen,Maharashtra,1207,143,224,130,586.38,0.21,Extreme Heat,Republic Day Offer,464.81,Medium
29-02-2024,DMART_084,PRD_0115,Personal Care,Andhra Pradesh,757,135,186,124,1929.48,0.35,Extreme Heat,None,1334.71,Medium
01-03-2024,DMART_092,PRD_0932,Groceries,Telangana,1027,142,226,145,3004.26,0.12,Rainy,None,2641.31,Low
02-03-2024,DMART_060,PRD_0674,Electronics,Karnataka,1463,88,151,130,1809.31,0.32,Cloudy,Diwali Sale,1371.22,Low
03-03-2024,DMART_071,PRD_0713,Apparel,Gujarat,1867,493,537,512,2398.57,0.05,Cloudy,None,2204.27,High
04-03-2024,DMART_044,PRD_0234,Groceries,Tamil Nadu,1686,153,193,134,281.86,0.31,Extreme Heat,None,199.25,Medium
05-03-2024,DMART_008,PRD_0540,Groceries,Karnataka,474,121,176,120,1582.54,0.15,Cloudy,Republic Day Offer,1380.11,Medium
06-03-2024,DMART_047,PRD_0011,Groceries,Maharashtra,636,154,180,166,350.23,0.19,Extreme Heat,None,305.64,Medium
07-03-2024,DMART_035,PRD_0206,Groceries,Karnataka,855,412,506,405,2106.13,0.07,Sunny,None,1930.58,High
08-03-2024,DMART_078,PRD_0679,Personal Care,Karnataka,1583,129,228,162,998.07,0.01,Cloudy,None,1032.55,Medium
09-03-2024,DMART_081,PRD_0247,Electronics,Telangana,769,193,255,227,1019.69,0.27,Cloudy,None,789.34,Medium
10-03-2024,DMART_036,PRD_0559,Personal Care,Maharashtra,1668,110,141,126,287.15,0.24,Extreme Heat,None,246.21,Medium
11-03-2024,DMART_050,PRD_0758,Apparel,Karnataka,1500,116,183,101,1099.63,0.25,Extreme Heat,None,870.35,Medium
12-03-2024,DMART_004,PRD_0127,Personal Care,Gujarat,998,88,138,100,1783.24,0.1,Rainy,None,1567.02,Medium
13-03-2024,DMART_002,PRD_0147,Home & Kitchen,Maharashtra,704,172,184,201,2054.62,0.1,Cloudy,Republic Day Offer,1794.18,Low
14-03-2024,DMART_006,PRD_0118,Home & Kitchen,Gujarat,523,17,89,66,252,0.33,Humid,None,191.6,Low
15-03-2024,DMART_054,PRD_0911,Groceries,Tamil Nadu,617,298,373,328,2287.08,0.3,Extreme Heat,End of Month,1834.59,High
16-03-2024,DMART_004,PRD_0382,Groceries,Tamil Nadu,1434,205,260,250,1721.29,0.13,Humid,Festive Discount,1472.67,High
17-03-2024,DMART_054,PRD_0412,Home & Kitchen,Andhra Pradesh,1872,109,202,149,1888.44,0.26,Sunny,None,1537.57,Medium
18-03-2024,DMART_093,PRD_0664,Groceries,Tamil Nadu,260,188,205,195,2918.13,0.33,Sunny,None,1955.43,High
19-03-2024,DMART_063,PRD_0584,Groceries,Karnataka,1252,128,176,151,1210.95,0.36,Humid,Diwali Sale,865.36,Low
20-03-2024,DMART_018,PRD_0363,Personal Care,Maharashtra,1993,365,399,356,625.7,0,Sunny,None,606.5,High
21-03-2024,DMART_090,PRD_0509,Electronics,Tamil Nadu,1131,66,154,102,1940.3,0.33,Humid,End of Month,1348.65,Medium
22-03-2024,DMART_044,PRD_0137,Personal Care,Gujarat,1146,32,88,37,3308.68,0.14,Rainy,None,3042.41,Medium
23-03-2024,DMART_034,PRD_0175,Apparel,Karnataka,264,264,307,268,1822.19,0.29,Rainy,None,1449.65,High
24-03-2024,DMART_074,PRD_0289,Personal Care,Tamil Nadu,949,139,216,133,2915.05,0.15,Sunny,None,2778.46,Low
25-03-2024,DMART_062,PRD_0958,Apparel,Telangana,1851,164,230,196,2654.47,0.24,Humid,None,1990.89,Medium
26-03-2024,DMART_100,PRD_0481,Personal Care,Gujarat,1146,169,264,213,1823.79,0.26,Humid,None,1543.17,Medium
27-03-2024,DMART_014,PRD_0019,Stationery,Gujarat,516,187,221,220,2273.49,0.16,Humid,None,2058.14,Medium
28-03-2024,DMART_095,PRD_0195,Personal Care,Andhra Pradesh,1344,153,235,171,1435.25,0.21,Sunny,None,1226.54,High
29-03-2024,DMART_048,PRD_0330,Home & Kitchen,Telangana,1572,352,448,382,1866.59,0.29,Humid,Diwali Sale,1494.65,High
30-03-2024,DMART_015,PRD_0936,Home & Kitchen,Andhra Pradesh,403,42,113,41,1785.35,0.19,Extreme Heat,None,1466.47,Low
31-03-2024,DMART_072,PRD_0175,Personal Care,Tamil Nadu,1307,38,86,81,2487.7,0.01,Humid,Summer Special,2544.2,Medium
01-04-2024,DMART_078,PRD_0449,Groceries,Telangana,1392,42,127,32,1446.73,0.01,Extreme Heat,None,1642.8,Medium
02-04-2024,DMART_087,PRD_0925,Groceries,Gujarat,1092,109,196,140,367.19,0.26,Rainy,None,259.03,Low
03-04-2024,DMART_062,PRD_0946,Groceries,Andhra Pradesh,674,268,284,301,2764.71,0.34,Extreme Heat,None,2049.94,High
04-04-2024,DMART_040,PRD_0354,Stationery,Karnataka,1648,83,98,131,2403.29,0.31,Rainy,End of Month,1854.78,Low
05-04-2024,DMART_085,PRD_0499,Groceries,Telangana,421,74,170,60,3326.43,0.12,Sunny,Diwali Sale,2934.53,Low
06-04-2024,DMART_080,PRD_0141,Groceries,Gujarat,233,131,194,122,1511.93,0.19,Rainy,None,1364.69,Low
07-04-2024,DMART_082,PRD_0758,Home & Kitchen,Maharashtra,1350,52,144,33,292.16,0.09,Rainy,None,270.13,Medium
08-04-2024,DMART_053,PRD_0897,Groceries,Telangana,723,126,220,126,443.23,0.4,Humid,Festive Discount,286.09,Low
09-04-2024,DMART_024,PRD_0930,Personal Care,Telangana,804,136,164,184,2711.15,0.1,Cloudy,Summer Special,2536.11,Medium
10-04-2024,DMART_026,PRD_0093,Groceries,Tamil Nadu,1218,109,165,124,255.8,0.17,Rainy,None,206,Medium
11-04-2024,DMART_089,PRD_0944,Electronics,Karnataka,1731,195,223,195,3179.23,0.27,Extreme Heat,Diwali Sale,2620.39,Medium
12-04-2024,DMART_060,PRD_0239,Stationery,Tamil Nadu,1154,100,143,132,1000.14,0.35,Sunny,None,688.48,Low
13-04-2024,DMART_041,PRD_0205,Stationery,Telangana,371,52,104,50,3148.1,0.02,Extreme Heat,None,3228.17,Medium
14-04-2024,DMART_029,PRD_0560,Personal Care,Telangana,484,174,196,156,2711.8,0.12,Sunny,End of Month,2686.83,Medium
15-04-2024,DMART_015,PRD_0433,Apparel,Karnataka,1906,55,100,94,3051.78,0.23,Extreme Heat,End of Month,2386.54,Medium
16-04-2024,DMART_045,PRD_0245,Groceries,Karnataka,1116,34,68,47,764.86,0.25,Rainy,None,610.4,Medium
17-04-2024,DMART_065,PRD_0832,Groceries,Andhra Pradesh,1386,107,172,115,2093.01,0.03,Cloudy,Summer Special,2286.95,Low
18-04-2024,DMART_089,PRD_0317,Groceries,Gujarat,1979,102,132,138,345.69,0.27,Rainy,Diwali Sale,257.04,Medium
19-04-2024,DMART_071,PRD_0925,Personal Care,Gujarat,342,108,151,127,723.94,0.21,Humid,None,634.08,Medium
20-04-2024,DMART_009,PRD_0295,Personal Care,Andhra Pradesh,737,114,148,143,1098.46,0.33,Extreme Heat,None,774.88,Low
21-04-2024,DMART_088,PRD_0640,Personal Care,Gujarat,937,188,279,186,2598.03,0.09,Cloudy,None,2320.6,Medium
22-04-2024,DMART_001,PRD_0856,Groceries,Telangana,118,83,103,84,106.01,0.08,Extreme Heat,None,93.44,Medium
23-04-2024,DMART_008,PRD_0282,Personal Care,Andhra Pradesh,105,105,133,135,3162.85,0.32,Humid,Diwali Sale,2355.8,High
24-04-2024,DMART_088,PRD_0017,Home & Kitchen,Andhra Pradesh,680,382,440,410,266.4,0.28,Humid,None,192.26,High
25-04-2024,DMART_063,PRD_0071,Personal Care,Gujarat,1277,226,284,257,1330.19,0.32,Humid,None,1006.87,High
26-04-2024,DMART_011,PRD_0269,Home & Kitchen,Maharashtra,469,185,228,186,302.19,0.31,Rainy,Summer Special,205.96,High
27-04-2024,DMART_081,PRD_0325,Groceries,Gujarat,616,63,74,104,2696.01,0.04,Rainy,Festive Discount,2752.7,Medium
28-04-2024,DMART_008,PRD_0794,Apparel,Tamil Nadu,599,462,501,501,511.78,0.11,Cloudy,Diwali Sale,441.22,High
29-04-2024,DMART_035,PRD_0305,Personal Care,Maharashtra,292,31,78,17,3098.95,0.1,Humid,Republic Day Offer,3060.02,Medium
30-04-2024,DMART_035,PRD_0451,Groceries,Andhra Pradesh,1274,198,222,230,1865.17,0.37,Rainy,End of Month,1296.25,Medium
01-05-2024,DMART_033,PRD_0007,Groceries,Maharashtra,797,195,279,205,3320.69,0.19,Sunny,Republic Day Offer,3048.33,Medium
02-05-2024,DMART_005,PRD_0314,Home & Kitchen,Telangana,1547,191,288,174,1030.46,0.04,Sunny,None,1050.84,Medium
03-05-2024,DMART_041,PRD_0817,Apparel,Karnataka,576,230,299,216,1601.02,0.12,Rainy,None,1368.45,High
04-05-2024,DMART_028,PRD_0103,Personal Care,Maharashtra,1729,43,56,25,2435.98,0.35,Cloudy,Diwali Sale,1766.35,Low
05-05-2024,DMART_007,PRD_0821,Groceries,Tamil Nadu,126,53,145,57,2915.06,0.34,Extreme Heat,None,1948.53,Low
06-05-2024,DMART_073,PRD_0193,Stationery,Karnataka,1551,445,468,458,1486.32,0.36,Humid,None,1074.83,High
07-05-2024,DMART_072,PRD_0753,Home & Kitchen,Telangana,1894,118,208,130,3125.67,0.16,Rainy,End of Month,3007.76,Medium
08-05-2024,DMART_012,PRD_0574,Personal Care,Tamil Nadu,489,262,279,279,430.6,0.26,Cloudy,None,311.16,High
09-05-2024,DMART_034,PRD_0529,Personal Care,Karnataka,1336,298,384,281,2486.22,0.11,Extreme Heat,None,2138.81,High
10-05-2024,DMART_033,PRD_0171,Groceries,Telangana,1258,189,285,216,1231.73,0.07,Cloudy,None,1293.88,Medium
11-05-2024,DMART_048,PRD_0537,Home & Kitchen,Karnataka,1128,31,51,71,372.65,0.01,Extreme Heat,None,416.8,Low
12-05-2024,DMART_023,PRD_0251,Groceries,Karnataka,1381,38,127,82,1365.59,0.09,Sunny,Summer Special,1326,Medium
13-05-2024,DMART_062,PRD_0765,Electronics,Gujarat,565,352,411,392,3083.15,0.24,Extreme Heat,Republic Day Offer,2642.24,High
14-05-2024,DMART_088,PRD_0387,Personal Care,Tamil Nadu,1372,71,167,51,3432.26,0.36,Sunny,Summer Special,2495.62,Low
15-05-2024,DMART_037,PRD_0207,Personal Care,Tamil Nadu,1625,24,109,9,1386.94,0.05,Humid,None,1398.07,Low
16-05-2024,DMART_099,PRD_0541,Personal Care,Maharashtra,1303,151,198,151,3104.73,0.37,Rainy,Diwali Sale,2126.75,Medium
17-05-2024,DMART_044,PRD_0629,Electronics,Tamil Nadu,1450,124,157,170,1793.6,0.14,Sunny,Republic Day Offer,1654.66,Medium
18-05-2024,DMART_086,PRD_0416,Apparel,Tamil Nadu,1359,159,206,166,2515.21,0.17,Cloudy,None,2056.14,Medium
19-05-2024,DMART_091,PRD_0794,Personal Care,Karnataka,1211,202,273,247,177.89,0.15,Extreme Heat,None,156.84,High
20-05-2024,DMART_035,PRD_0380,Home & Kitchen,Andhra Pradesh,1551,96,161,102,1959.45,0.16,Cloudy,Diwali Sale,1787.94,Medium
21-05-2024,DMART_065,PRD_0144,Personal Care,Gujarat,664,420,494,431,264.16,0.1,Sunny,Festive Discount,254.87,High
22-05-2024,DMART_099,PRD_0025,Personal Care,Maharashtra,1080,129,228,120,954.79,0.28,Cloudy,Summer Special,682.65,Medium
23-05-2024,DMART_047,PRD_0822,Groceries,Gujarat,725,16,42,60,1992.51,0.3,Extreme Heat,None,1578.8,Medium
24-05-2024,DMART_078,PRD_0668,Personal Care,Maharashtra,1492,93,119,118,2828.93,0.33,Rainy,None,2097.84,Medium
25-05-2024,DMART_003,PRD_0073,Groceries,Telangana,1545,16,52,35,1971.91,0.14,Cloudy,Republic Day Offer,1634.27,Medium
26-05-2024,DMART_001,PRD_0632,Electronics,Karnataka,469,26,124,14,3277.95,0.31,Humid,None,2304.34,Medium
27-05-2024,DMART_005,PRD_0824,Groceries,Tamil Nadu,1950,446,480,487,2839.96,0.26,Extreme Heat,None,2414.93,High
28-05-2024,DMART_090,PRD_0833,Electronics,Tamil Nadu,325,134,219,129,563.72,0.38,Extreme Heat,None,359.28,Medium
29-05-2024,DMART_014,PRD_0093,Personal Care,Andhra Pradesh,1634,88,146,135,1373.58,0.17,Humid,None,1234.34,Low
30-05-2024,DMART_027,PRD_0505,Home & Kitchen,Gujarat,657,193,260,212,2346.33,0.4,Sunny,None,1365.75,Low
31-05-2024,DMART_009,PRD_0598,Personal Care,Gujarat,620,71,165,85,3285.65,0.3,Humid,Diwali Sale,2327.98,Low
01-06-2024,DMART_079,PRD_0336,Groceries,Gujarat,1816,67,77,106,3457.25,0.31,Sunny,Festive Discount,2687.06,Low
02-06-2024,DMART_015,PRD_0425,Groceries,Tamil Nadu,1762,120,142,169,2675.89,0.01,Rainy,None,2787.17,Medium
03-06-2024,DMART_090,PRD_0499,Groceries,Gujarat,139,139,201,121,2016.72,0.2,Sunny,None,1798.95,Medium
04-06-2024,DMART_042,PRD_0364,Home & Kitchen,Karnataka,331,140,170,172,2653,0.21,Rainy,Diwali Sale,1994.29,Low
05-06-2024,DMART_077,PRD_0947,Personal Care,Maharashtra,1621,98,108,136,970.86,0.02,Rainy,None,1030.63,Medium
06-06-2024,DMART_051,PRD_0630,Apparel,Tamil Nadu,1244,228,314,243,1006.94,0.12,Humid,Festive Discount,894.96,High
07-06-2024,DMART_063,PRD_0745,Groceries,Karnataka,687,127,167,172,2297.14,0.38,Rainy,None,1598.2,Low
08-06-2024,DMART_096,PRD_0199,Groceries,Telangana,860,10,80,26,3053.99,0.17,Sunny,Festive Discount,2886.67,Medium
09-06-2024,DMART_052,PRD_0718,Personal Care,Karnataka,1428,119,215,142,3394.94,0.07,Cloudy,None,3433.63,Medium
10-06-2024,DMART_096,PRD_0413,Electronics,Karnataka,1277,76,88,119,1207.84,0.21,Extreme Heat,Summer Special,934.36,Medium
11-06-2024,DMART_004,PRD_0339,Home & Kitchen,Telangana,1362,157,241,187,2792.01,0.01,Extreme Heat,Republic Day Offer,2884.66,Medium
12-06-2024,DMART_094,PRD_0659,Personal Care,Karnataka,917,71,109,56,2983.33,0.21,Sunny,Festive Discount,2457.94,Medium
13-06-2024,DMART_023,PRD_0962,Personal Care,Maharashtra,511,160,217,208,2188.64,0.24,Cloudy,Republic Day Offer,1856.42,High
14-06-2024,DMART_015,PRD_0937,Groceries,Tamil Nadu,1682,448,539,448,1229.62,0.14,Rainy,Diwali Sale,1102.02,High
15-06-2024,DMART_043,PRD_0429,Electronics,Andhra Pradesh,799,327,398,363,2174.43,0.31,Sunny,Republic Day Offer,1525.15,High
16-06-2024,DMART_029,PRD_0783,Home & Kitchen,Telangana,1246,87,121,94,2053.88,0.05,Rainy,End of Month,2092.2,Medium
17-06-2024,DMART_036,PRD_0899,Groceries,Tamil Nadu,350,117,160,120,2130.71,0.35,Humid,Summer Special,1494.95,High
18-06-2024,DMART_013,PRD_0139,Personal Care,Gujarat,649,343,370,385,2175.03,0.38,Cloudy,None,1499.54,High
19-06-2024,DMART_032,PRD_0693,Groceries,Maharashtra,1984,105,179,106,2967.76,0,Extreme Heat,None,3353.83,Medium
20-06-2024,DMART_071,PRD_0942,Electronics,Andhra Pradesh,1936,155,192,168,611.88,0.34,Sunny,None,455.53,Medium
21-06-2024,DMART_059,PRD_0542,Groceries,Maharashtra,578,146,159,162,1298.18,0.2,Extreme Heat,None,1116.79,High
22-06-2024,DMART_086,PRD_0057,Home & Kitchen,Maharashtra,189,189,219,209,2059.29,0.18,Rainy,Summer Special,1781.25,High
23-06-2024,DMART_028,PRD_0232,Groceries,Gujarat,1839,31,110,53,1005.98,0.1,Rainy,None,1005.2,Low
24-06-2024,DMART_066,PRD_0658,Home & Kitchen,Andhra Pradesh,327,82,112,83,3423.97,0.18,Humid,Diwali Sale,2839.54,Medium
25-06-2024,DMART_042,PRD_0435,Apparel,Maharashtra,712,300,329,294,935.76,0.38,Rainy,Republic Day Offer,639.11,High
26-06-2024,DMART_045,PRD_0384,Home & Kitchen,Gujarat,560,179,229,179,1654.31,0.08,Rainy,Summer Special,1599.92,Medium
27-06-2024,DMART_062,PRD_0560,Home & Kitchen,Telangana,1419,134,196,165,3073.23,0.07,Extreme Heat,Diwali Sale,2785.88,Medium
28-06-2024,DMART_057,PRD_0194,Stationery,Gujarat,1919,133,204,116,298.62,0.1,Extreme Heat,None,295.79,Low
29-06-2024,DMART_006,PRD_0736,Groceries,Karnataka,1213,84,124,110,2875.99,0.22,Sunny,Festive Discount,2422.05,Medium
30-06-2024,DMART_028,PRD_0648,Groceries,Tamil Nadu,163,163,197,160,2007.11,0.37,Sunny,None,1222.1,High
01-07-2024,DMART_028,PRD_0534,Groceries,Gujarat,629,143,221,157,130.67,0.23,Rainy,End of Month,104.65,Low
02-07-2024,DMART_044,PRD_0518,Electronics,Gujarat,1580,65,146,51,3162.14,0.1,Cloudy,None,2980.54,Medium
03-07-2024,DMART_084,PRD_0716,Groceries,Gujarat,1439,353,379,373,156.4,0.18,Sunny,None,138.6,High
04-07-2024,DMART_030,PRD_0751,Home & Kitchen,Maharashtra,740,21,109,10,1812.96,0.16,Rainy,Summer Special,1653.39,Medium
05-07-2024,DMART_062,PRD_0185,Home & Kitchen,Andhra Pradesh,686,48,77,89,190.63,0.02,Extreme Heat,End of Month,184.6,Low
06-07-2024,DMART_075,PRD_0872,Groceries,Gujarat,1470,337,391,381,267.78,0.2,Humid,None,204.96,High
07-07-2024,DMART_092,PRD_0292,Groceries,Gujarat,1898,320,379,311,3107.47,0.05,Extreme Heat,Republic Day Offer,3273.33,High
08-07-2024,DMART_089,PRD_0335,Groceries,Karnataka,872,42,102,49,2685.07,0.34,Extreme Heat,None,2031.44,Medium
09-07-2024,DMART_062,PRD_0732,Personal Care,Karnataka,1923,177,258,214,705.36,0.22,Humid,None,626.18,High
10-07-2024,DMART_097,PRD_0116,Groceries,Telangana,924,92,179,127,2179.23,0.34,Extreme Heat,End of Month,1510.44,Medium
11-07-2024,DMART_001,PRD_0825,Groceries,Telangana,1997,190,232,187,2785.48,0.38,Sunny,End of Month,1823.34,Medium
12-07-2024,DMART_027,PRD_0049,Stationery,Karnataka,1943,364,402,408,3115.78,0.38,Extreme Heat,Summer Special,2194.73,High
13-07-2024,DMART_062,PRD_0685,Electronics,Andhra Pradesh,1818,195,226,231,1649.71,0.04,Humid,Diwali Sale,1676.89,Medium
14-07-2024,DMART_077,PRD_0082,Groceries,Telangana,989,241,317,270,3143.3,0.38,Rainy,Republic Day Offer,1959.63,High
15-07-2024,DMART_003,PRD_0834,Groceries,Tamil Nadu,1732,137,233,161,1787.32,0.32,Rainy,None,1319.31,Medium
16-07-2024,DMART_070,PRD_0333,Groceries,Tamil Nadu,991,403,415,444,2415.03,0.31,Rainy,None,1742.09,High
17-07-2024,DMART_072,PRD_0557,Home & Kitchen,Andhra Pradesh,1184,82,97,126,3427.02,0.04,Humid,None,3641.96,Medium
18-07-2024,DMART_027,PRD_0335,Apparel,Karnataka,1948,182,231,216,841.11,0.07,Humid,Festive Discount,865.67,Medium
19-07-2024,DMART_009,PRD_0532,Groceries,Telangana,407,95,191,112,606.45,0.39,Sunny,None,420.69,Medium
20-07-2024,DMART_062,PRD_0960,Groceries,Gujarat,1311,28,113,11,1210.23,0.09,Humid,None,1076.6,Medium
21-07-2024,DMART_037,PRD_0221,Apparel,Karnataka,52,52,130,46,592.11,0.07,Rainy,Republic Day Offer,580.54,High
