bill_id,date,region,category,product_name,size,units_sold,base_price,discount_percent,final_price,revenue,inventory_level,customer_gender,season,return_flag
ZUD-181,20-09-2024,Delhi,Kids,Kids Shorts,S,8,501.49,,401.19,3209.51,266,Male,Summer,0
ZUD-182,21-03-2025,Chennai,Men,Jeans,XL,9,1155.34,20,924.28,8318.48,18,Female,Monsoon,0
ZUD-183,01-05-2025,Delhi,Men,Jeans,L,28,2590.66,10,2331.59,65284.55,66,Female,Summer,1
ZUD-184,23-01-2026,Pune,Accessories,Socks,M,10,1471.66,0,1471.66,14716.57,42,Male,Summer,0
ZUD-185,09-01-2025,Delhi,Men,Shirt,M,10,2339.79,10,2105.81,21058.1,255,Female,Summer,0
ZUD-186,15-05-2025,Pune,Women,Dress,L,8,986,30,690.2,5521.59,262,Male,Summer,0
ZUD-187,27-09-2025,Mumbai,Women,Jeans,XL,15,2998.13,0,2998.13,44972.01,218,Female,Winter,0
ZUD-188,07-10-2024,Delhi,Accessories,Cap,L,29,1885.3,20,1508.24,43738.92,165,Female,Summer,1
ZUD-189,25-09-2025,Pune,Women,Top,L,4,1738.49,,1477.72,5910.87,104,Female,Summer,1
ZUD-190,25-02-2025,Bangalore,Men,Jeans,S,11,514.36,15,437.2,4809.24,289,Male,Monsoon,1
ZUD-191,02-05-2025,Pune,Men,Tshirt,L,8,1748.69,30,1224.08,9792.67,192,Male,Winter,1
ZUD-192,23-11-2025,Chennai,Women,Jeans,XL,7,1468.64,15,1248.34,8738.39,49,Female,Winter,1
ZUD-193,05-06-2025,Chennai,Men,Shirt,XL,27,1946.12,20,1556.9,42036.27,175,Female,Monsoon,0
ZUD-194,28-05-2024,Bangalore,Men,Jacket,L,12,1441.53,20,1153.23,13838.72,293,Female,Summer,0
ZUD-195,24-02-2025,Chennai,Accessories,Socks,L,29,721.57,30,505.1,14647.84,38,Male,Monsoon,1
ZUD-196,21-02-2025,Bangalore,Men,Jeans,L,2,1584.22,,1584.22,3168.44,203,Female,Summer,1
ZUD-197,13-10-2025,Mumbai,Women,Dress,S,15,2856.14,30,1999.3,29989.51,47,Female,Monsoon,1
ZUD-198,21-03-2026,Bangalore,Women,Skirt,M,18,1176.18,30,823.33,14819.9,115,Male,Summer,0
ZUD-199,21-03-2025,Mumbai,Men,Jeans,,9,768.36,0,768.36,6915.28,294,Female,Summer,0
ZUD-200,29-05-2025,Delhi,Kids,Kids Dress,XL,29,1507.03,15,1280.97,37148.26,255,Male,Summer,1
ZUD-201,27-09-2025,Pune,Women,Skirt,M,21,2026.06,0,2026.06,42547.36,255,Female,Monsoon,0
ZUD-202,24-01-2026,Bangalore,Accessories,Belt,L,2,1841.89,0,1841.89,3683.77,24,Female,Monsoon,1
ZUD-203,15-05-2025,Pune,Women,Jeans,S,27,1738.15,0,1738.15,46930.17,109,Female,Monsoon,0
ZUD-204,12-04-2025,Mumbai,Kids,Kids Tshirt,XL,16,1918.9,30,1343.23,21491.71,171,Female,Winter,0
ZUD-205,18-07-2024,Mumbai,Women,Top,,2,525.22,10,472.7,945.39,243,Female,Monsoon,0
ZUD-206,25-01-2025,Bangalore,Kids,Kids Dress,XL,6,645.32,20,516.25,3097.52,288,Female,Summer,0
ZUD-207,11-06-2024,Mumbai,Accessories,Socks,L,4,1431.59,30,1002.12,4008.46,206,Male,Summer,1
ZUD-208,11-09-2025,Bangalore,Men,Shirt,S,7,2449.07,15,2081.71,14571.99,193,Male,Monsoon,0
ZUD-209,12-09-2024,Delhi,Accessories,Belt,L,25,2970.73,10,2673.65,66841.32,12,Male,Winter,0
ZUD-210,19-01-2025,Chennai,Women,Top,L,18,898.4,10,808.56,14554.04,31,Female,Monsoon,0
ZUD-211,10-02-2026,Delhi,Men,Jeans,M,15,1180.76,15,1003.64,15054.63,219,Male,Monsoon,1
ZUD-212,02-11-2025,Bangalore,Accessories,Cap,M,22,1903.63,10,1713.27,37691.94,11,Male,Winter,0
ZUD-213,24-06-2025,Pune,Accessories,Socks,,12,908.45,15,772.18,9266.17,293,Female,Summer,1
ZUD-214,11-08-2024,Pune,Men,Tshirt,M,13,891.95,0,891.95,11595.4,184,Female,Winter,0
ZUD-215,12-07-2025,Delhi,Kids,Kids Dress,M,4,1739.66,0,1739.66,6958.64,135,Male,Monsoon,0
ZUD-216,19-09-2025,Delhi,Accessories,Bag,XL,21,2615.27,15,2222.98,46682.54,159,Female,Monsoon,0
ZUD-217,29-05-2024,Chennai,Kids,Kids Shorts,XL,15,2439.75,10,2195.77,32936.58,233,Female,Winter,1
ZUD-218,17-08-2025,Mumbai,Kids,Kids Shorts,M,27,2501.67,0,2501.67,67545.2,50,Male,Monsoon,0
ZUD-219,05-03-2025,Mumbai,Kids,Kids Dress,L,17,2205.15,20,1764.12,29990.04,217,Male,Winter,1
ZUD-220,11-10-2025,Delhi,Accessories,Socks,S,18,1067.76,20,854.21,15375.77,89,Male,Winter,0
ZUD-221,17-03-2025,Mumbai,Kids,Kids Dress,L,26,559.37,20,447.5,11634.97,81,Female,Monsoon,0
ZUD-222,25-11-2025,Mumbai,Women,Jeans,M,28,950.13,15,807.61,22613.15,94,Male,Summer,0
ZUD-223,19-08-2024,Mumbai,Men,Tshirt,M,1,652.6,0,652.6,652.6,58,Female,Winter,0
ZUD-224,15-01-2025,Delhi,Accessories,Cap,M,9,344.44,20,275.55,2479.99,143,Female,Winter,1
ZUD-225,12-05-2024,Delhi,Kids,Kids Tshirt,L,7,1841.8,20,1473.44,10314.08,53,Female,Monsoon,0
ZUD-226,28-02-2025,Delhi,Accessories,Belt,L,15,2403.6,10,2163.24,32448.56,217,Female,Winter,0
ZUD-227,12-06-2025,Pune,Accessories,Socks,M,8,2733.34,0,2733.34,21866.71,190,Male,Winter,0
ZUD-228,03-09-2024,Bangalore,Accessories,Cap,L,19,850.23,20,680.19,12923.57,221,Female,Monsoon,1
